dataset,site,subid,volume,pass,rater
ABIDE_I,LEUVEN_2,50757,32,YES,MVL
ABIDE_I,MAXMUN,51318,0,YES,MVL
ABIDE_I,MAXMUN,51319,1,YES,MVL
ABIDE_I,MAXMUN,51320,2,YES,MVL
ABIDE_I,MAXMUN,51321,3,YES,MVL
ABIDE_I,MAXMUN,51322,4,NO,MVL
ABIDE_I,MAXMUN,51323,5,YES,MVL
ABIDE_I,MAXMUN,51324,6,NO,MVL
ABIDE_I,MAXMUN,51325,7,YES,MVL
ABIDE_I,MAXMUN,51326,8,YES,MVL
ABIDE_I,MAXMUN,51327,9,YES,MVL
ABIDE_I,MAXMUN,51328,10,YES,MVL
ABIDE_I,MAXMUN,51329,11,YES,MVL
ABIDE_I,MAXMUN,51330,12,YES,MVL
ABIDE_I,MAXMUN,51331,13,YES,MVL
ABIDE_I,MAXMUN,51332,14,YES,MVL
ABIDE_I,MAXMUN,51333,15,NO,MVL
ABIDE_I,MAXMUN,51334,,,
ABIDE_I,MAXMUN,51335,,,
ABIDE_I,MAXMUN,51336,16,NO,MVL
ABIDE_I,MAXMUN,51338,17,YES,MVL
ABIDE_I,MAXMUN,51339,18,YES,MVL
ABIDE_I,MAXMUN,51340,19,YES,MVL
ABIDE_I,MAXMUN,51341,20,YES,MVL
ABIDE_I,MAXMUN,51342,21,YES,MVL
ABIDE_I,MAXMUN,51343,22,YES,MVL
ABIDE_I,MAXMUN,51344,23,YES,MVL
ABIDE_I,MAXMUN,51345,24,NO,MVL
ABIDE_I,MAXMUN,51346,25,NO,MVL
ABIDE_I,MAXMUN,51347,26,YES,MVL
ABIDE_I,MAXMUN,51348,27,NO,MVL
ABIDE_I,MAXMUN,51349,28,NO,MVL
ABIDE_I,MAXMUN,51350,29,YES,MVL
ABIDE_I,MAXMUN,51351,30,NO,MVL
ABIDE_I,MAXMUN,51352,31,NO,MVL
ABIDE_I,MAXMUN,51353,32,YES,MVL
ABIDE_I,MAXMUN,51354,33,NO,MVL
ABIDE_I,MAXMUN,51355,,,
ABIDE_I,MAXMUN,51356,34,NO,MVL
ABIDE_I,MAXMUN,51357,35,NO,MVL
ABIDE_I,MAXMUN,51358,36,NO,MVL
ABIDE_I,MAXMUN,51359,37,YES,MVL
ABIDE_I,MAXMUN,51360,38,YES,MVL
ABIDE_I,MAXMUN,51361,39,YES,MVL
ABIDE_I,MAXMUN,51362,40,NO,MVL
ABIDE_I,MAXMUN,51363,41,NO,MVL
ABIDE_I,MAXMUN,51364,42,YES,MVL
ABIDE_I,MAXMUN,51365,,,
ABIDE_I,MAXMUN,51366,43,YES,MVL
ABIDE_I,MAXMUN,51367,44,YES,MVL
ABIDE_I,MAXMUN,51368,45,NO,MVL
ABIDE_I,MAXMUN,51369,46,YES,MVL
ABIDE_I,MAXMUN,51370,47,YES,MVL
ABIDE_I,MAXMUN,51371,48,NO,MVL
ABIDE_I,MAXMUN,51372,49,NO,MVL
ABIDE_I,MAXMUN,51373,50,YES,MVL
ABIDE_I,MAXMUN,51606,,,
ABIDE_I,MAXMUN,51607,51,YES,MVL
ABIDE_I,NYU,50952,0,YES,MVL
ABIDE_I,NYU,50953,1,YES,MVL
ABIDE_I,NYU,50954,2,YES,MVL
ABIDE_I,NYU,50955,3,NO,MVL
ABIDE_I,NYU,50956,4,YES,MVL
ABIDE_I,NYU,50957,5,YES,MVL
ABIDE_I,NYU,50958,6,YES,MVL
ABIDE_I,NYU,50959,7,YES,MVL
ABIDE_I,NYU,50960,8,YES,MVL
ABIDE_I,NYU,50961,9,NO,MVL
ABIDE_I,NYU,50962,10,YES,MVL
ABIDE_I,NYU,50964,11,YES,MVL
ABIDE_I,NYU,50965,12,YES,MVL
ABIDE_I,NYU,50966,13,YES,MVL
ABIDE_I,NYU,50967,14,YES,MVL
ABIDE_I,NYU,50968,15,YES,MVL
ABIDE_I,NYU,50969,16,YES,MVL
ABIDE_I,NYU,50970,17,YES,MVL
ABIDE_I,NYU,50971,18,YES,MVL
ABIDE_I,NYU,50972,19,YES,MVL
ABIDE_I,NYU,50973,20,YES,MVL
ABIDE_I,NYU,50974,21,YES,MVL
ABIDE_I,NYU,50975,22,YES,MVL
ABIDE_I,NYU,50976,23,YES,MVL
ABIDE_I,NYU,50977,24,YES,MVL
ABIDE_I,NYU,50978,25,YES,MVL
ABIDE_I,NYU,50979,26,YES,MVL
ABIDE_I,NYU,50980,27,YES,MVL
ABIDE_I,NYU,50981,28,YES,MVL
ABIDE_I,NYU,50982,29,YES,MVL
ABIDE_I,NYU,50983,30,YES,MVL
ABIDE_I,NYU,50984,31,NO,MVL
ABIDE_I,NYU,50985,32,YES,MVL
ABIDE_I,NYU,50986,33,YES,MVL
ABIDE_I,NYU,50987,34,NO,MVL
ABIDE_I,NYU,50988,35,YES,MVL
ABIDE_I,NYU,50989,36,YES,MVL
ABIDE_I,NYU,50990,37,YES,MVL
ABIDE_I,NYU,50991,38,NO,MVL
ABIDE_I,NYU,50992,39,YES,MVL
ABIDE_I,NYU,50993,40,YES,MVL
ABIDE_I,NYU,50994,41,YES,MVL
ABIDE_I,NYU,50995,42,YES,MVL
ABIDE_I,NYU,50996,43,YES,MVL
ABIDE_I,NYU,50997,44,YES,MVL
ABIDE_I,NYU,50998,45,YES,MVL
ABIDE_I,NYU,50999,46,NO,MVL
ABIDE_I,NYU,51000,47,NO,MVL
ABIDE_I,NYU,51001,48,NO,MVL
ABIDE_I,NYU,51002,49,YES,MVL
ABIDE_I,NYU,51003,50,YES,MVL
ABIDE_I,NYU,51006,51,YES,MVL
ABIDE_I,NYU,51007,52,YES,MVL
ABIDE_I,NYU,51008,53,NO,MVL
ABIDE_I,NYU,51009,54,YES,MVL
ABIDE_I,NYU,51010,55,YES,MVL
ABIDE_I,NYU,51011,56,YES,MVL
ABIDE_I,NYU,51012,57,YES,MVL
ABIDE_I,NYU,51013,58,YES,MVL
ABIDE_I,NYU,51014,59,YES,MVL
ABIDE_I,NYU,51015,60,YES,MVL
ABIDE_I,NYU,51016,61,YES,MVL
ABIDE_I,NYU,51017,62,YES,MVL
ABIDE_I,NYU,51018,63,YES,MVL
ABIDE_I,NYU,51019,64,YES,MVL
ABIDE_I,NYU,51020,65,YES,MVL
ABIDE_I,NYU,51021,66,NO,MVL
ABIDE_I,NYU,51023,67,YES,MVL
ABIDE_I,NYU,51024,68,YES,MVL
ABIDE_I,NYU,51025,69,YES,MVL
ABIDE_I,NYU,51026,70,YES,MVL
ABIDE_I,NYU,51027,71,YES,MVL
ABIDE_I,NYU,51028,72,YES,MVL
ABIDE_I,NYU,51029,73,YES,MVL
ABIDE_I,NYU,51030,74,YES,MVL
ABIDE_I,NYU,51032,75,YES,MVL
ABIDE_I,NYU,51033,76,NO,MVL
ABIDE_I,NYU,51034,77,YES,MVL
ABIDE_I,NYU,51035,78,YES,MVL
ABIDE_I,NYU,51036,79,YES,MVL
ABIDE_I,NYU,51038,80,YES,MVL
ABIDE_I,NYU,51039,81,YES,MVL
ABIDE_I,NYU,51040,82,YES,MVL
ABIDE_I,NYU,51041,83,YES,MVL
ABIDE_I,NYU,51042,84,YES,MVL
ABIDE_I,NYU,51044,85,YES,MVL
ABIDE_I,NYU,51045,86,YES,MVL
ABIDE_I,NYU,51046,87,YES,MVL
ABIDE_I,NYU,51047,88,YES,MVL
ABIDE_I,NYU,51048,89,YES,MVL
ABIDE_I,NYU,51049,90,YES,MVL
ABIDE_I,NYU,51050,91,YES,MVL
ABIDE_I,NYU,51051,92,YES,MVL
ABIDE_I,NYU,51052,93,YES,MVL
ABIDE_I,NYU,51053,94,YES,MVL
ABIDE_I,NYU,51054,95,YES,MVL
ABIDE_I,NYU,51055,96,YES,MVL
ABIDE_I,NYU,51056,97,YES,MVL
ABIDE_I,NYU,51057,98,YES,MVL
ABIDE_I,NYU,51058,99,YES,MVL
ABIDE_I,NYU,51059,100,YES,MVL
ABIDE_I,NYU,51060,101,YES,MVL
ABIDE_I,NYU,51061,102,NO,MVL
ABIDE_I,NYU,51062,103,YES,MVL
ABIDE_I,NYU,51063,104,YES,MVL
ABIDE_I,NYU,51064,105,YES,MVL
ABIDE_I,NYU,51065,106,NO,MVL
ABIDE_I,NYU,51066,107,YES,MVL
ABIDE_I,NYU,51067,108,YES,MVL
ABIDE_I,NYU,51068,109,YES,MVL
ABIDE_I,NYU,51069,110,YES,MVL
ABIDE_I,NYU,51070,111,YES,MVL
ABIDE_I,NYU,51071,112,YES,MVL
ABIDE_I,NYU,51072,113,YES,MVL
ABIDE_I,NYU,51073,114,YES,MVL
ABIDE_I,NYU,51074,115,YES,MVL
ABIDE_I,NYU,51075,116,YES,MVL
ABIDE_I,NYU,51076,117,YES,MVL
ABIDE_I,NYU,51077,118,YES,MVL
ABIDE_I,NYU,51078,119,YES,MVL
ABIDE_I,NYU,51079,120,YES,MVL
ABIDE_I,NYU,51080,121,YES,MVL
ABIDE_I,NYU,51081,122,YES,MVL
ABIDE_I,NYU,51082,123,YES,MVL
ABIDE_I,NYU,51083,124,YES,MVL
ABIDE_I,NYU,51084,125,YES,MVL
ABIDE_I,NYU,51085,126,YES,MVL
ABIDE_I,NYU,51086,127,YES,MVL
ABIDE_I,NYU,51087,128,YES,MVL
ABIDE_I,NYU,51088,129,YES,MVL
ABIDE_I,NYU,51089,130,YES,MVL
ABIDE_I,NYU,51090,131,YES,MVL
ABIDE_I,NYU,51091,132,YES,MVL
ABIDE_I,NYU,51093,133,YES,MVL
ABIDE_I,NYU,51094,134,YES,MVL
ABIDE_I,NYU,51095,135,NO,MVL
ABIDE_I,NYU,51096,136,YES,MVL
ABIDE_I,NYU,51097,137,YES,MVL
ABIDE_I,NYU,51098,138,YES,MVL
ABIDE_I,NYU,51099,139,YES,MVL
ABIDE_I,NYU,51100,140,YES,MVL
ABIDE_I,NYU,51101,141,YES,MVL
ABIDE_I,NYU,51102,142,YES,MVL
ABIDE_I,NYU,51103,143,YES,MVL
ABIDE_I,NYU,51104,144,YES,MVL
ABIDE_I,NYU,51105,145,YES,MVL
ABIDE_I,NYU,51106,146,YES,MVL
ABIDE_I,NYU,51107,147,YES,MVL
ABIDE_I,NYU,51108,148,YES,MVL
ABIDE_I,NYU,51109,149,YES,MVL
ABIDE_I,NYU,51110,150,YES,MVL
ABIDE_I,NYU,51111,151,YES,MVL
ABIDE_I,NYU,51112,152,YES,MVL
ABIDE_I,NYU,51113,153,YES,MVL
ABIDE_I,NYU,51114,154,YES,MVL
ABIDE_I,NYU,51115,155,YES,MVL
ABIDE_I,NYU,51116,156,YES,MVL
ABIDE_I,NYU,51117,157,YES,MVL
ABIDE_I,NYU,51118,158,YES,MVL
ABIDE_I,NYU,51119,159,YES,MVL
ABIDE_I,NYU,51120,160,YES,MVL
ABIDE_I,NYU,51121,161,YES,MVL
ABIDE_I,NYU,51122,162,NO,MVL
ABIDE_I,NYU,51123,163,YES,MVL
ABIDE_I,NYU,51124,164,YES,MVL
ABIDE_I,NYU,51125,165,YES,MVL
ABIDE_I,NYU,51126,166,YES,MVL
ABIDE_I,NYU,51127,167,YES,MVL
ABIDE_I,NYU,51128,168,YES,MVL
ABIDE_I,NYU,51129,169,YES,MVL
ABIDE_I,NYU,51130,170,YES,MVL
ABIDE_I,NYU,51131,171,YES,MVL
ABIDE_I,NYU,51146,172,YES,MVL
ABIDE_I,NYU,51147,173,YES,MVL
ABIDE_I,NYU,51148,174,YES,MVL
ABIDE_I,NYU,51149,175,YES,MVL
ABIDE_I,NYU,51150,176,YES,MVL
ABIDE_I,NYU,51151,177,YES,MVL
ABIDE_I,NYU,51152,178,YES,MVL
ABIDE_I,NYU,51153,179,YES,MVL
ABIDE_I,NYU,51154,180,YES,MVL
ABIDE_I,NYU,51155,181,YES,MVL
ABIDE_I,NYU,51156,182,YES,MVL
ABIDE_I,NYU,51159,183,YES,MVL
ABIDE_I,OHSU,50142,0,YES,MVL
ABIDE_I,OHSU,50143,1,YES,MVL
ABIDE_I,OHSU,50144,2,YES,MVL
ABIDE_I,OHSU,50145,3,YES,MVL
ABIDE_I,OHSU,50146,4,YES,MVL
ABIDE_I,OHSU,50147,5,YES,MVL
ABIDE_I,OHSU,50148,6,YES,MVL
ABIDE_I,OHSU,50149,7,YES,MVL
ABIDE_I,OHSU,50150,8,YES,MVL
ABIDE_I,OHSU,50152,9,YES,MVL
ABIDE_I,OHSU,50153,10,YES,MVL
ABIDE_I,OHSU,50155,11,YES,MVL
ABIDE_I,OHSU,50156,12,YES,MVL
ABIDE_I,OHSU,50157,13,NO,MVL
ABIDE_I,OHSU,50158,14,YES,MVL
ABIDE_I,OHSU,50159,15,YES,MVL
ABIDE_I,OHSU,50160,16,YES,MVL
ABIDE_I,OHSU,50161,17,YES,MVL
ABIDE_I,OHSU,50162,18,YES,MVL
ABIDE_I,OHSU,50163,19,YES,MVL
ABIDE_I,OHSU,50164,20,YES,MVL
ABIDE_I,OHSU,50165,21,YES,MVL
ABIDE_I,OHSU,50166,22,YES,MVL
ABIDE_I,OHSU,50167,23,YES,MVL
ABIDE_I,OHSU,50168,24,YES,MVL
ABIDE_I,OHSU,50169,25,YES,MVL
ABIDE_I,OHSU,50170,26,YES,MVL
ABIDE_I,OHSU,50171,27,YES,MVL
ABIDE_I,OLIN,50102,0,NO,MVL
ABIDE_I,OLIN,50103,,,
ABIDE_I,OLIN,50104,1,YES,MVL
ABIDE_I,OLIN,50105,2,YES,MVL
ABIDE_I,OLIN,50106,3,NO,MVL
ABIDE_I,OLIN,50107,4,YES,MVL
ABIDE_I,OLIN,50108,5,YES,MVL
ABIDE_I,OLIN,50109,6,YES,MVL
ABIDE_I,OLIN,50110,7,NO,MVL
ABIDE_I,OLIN,50111,8,NO,MVL
ABIDE_I,OLIN,50112,9,YES,MVL
ABIDE_I,OLIN,50113,10,NO,MVL
ABIDE_I,OLIN,50114,11,NO,MVL
ABIDE_I,OLIN,50115,,,
ABIDE_I,OLIN,50116,12,YES,MVL
ABIDE_I,OLIN,50117,13,YES,MVL
ABIDE_I,OLIN,50118,14,NO,MVL
ABIDE_I,OLIN,50119,15,YES,MVL
ABIDE_I,OLIN,50120,16,NO,MVL
ABIDE_I,OLIN,50121,17,YES,MVL
ABIDE_I,OLIN,50122,18,NO,MVL
ABIDE_I,OLIN,50123,19,NO,MVL
ABIDE_I,OLIN,50124,20,NO,MVL
ABIDE_I,OLIN,50125,21,YES,MVL
ABIDE_I,OLIN,50126,22,YES,MVL
ABIDE_I,OLIN,50127,23,NO,MVL
ABIDE_I,OLIN,50128,24,NO,MVL
ABIDE_I,OLIN,50129,25,YES,MVL
ABIDE_I,OLIN,50130,26,YES,MVL
ABIDE_I,OLIN,50131,27,YES,MVL
ABIDE_I,OLIN,50132,,,
ABIDE_I,OLIN,50133,28,NO,MVL
ABIDE_I,OLIN,50134,29,NO,MVL
ABIDE_I,OLIN,50135,30,YES,MVL
ABIDE_I,OLIN,50136,31,NO,MVL
ABIDE_I,OLIN,50137,,,
ABIDE_I,PITT,50002,0,YES,MVL
ABIDE_I,PITT,50003,,,
ABIDE_I,PITT,50004,1,YES,MVL
ABIDE_I,PITT,50005,2,YES,MVL
ABIDE_I,PITT,50006,3,YES,MVL
ABIDE_I,PITT,50007,4,YES,MVL
ABIDE_I,PITT,50008,5,YES,MVL
ABIDE_I,PITT,50009,6,YES,MVL
ABIDE_I,PITT,50010,7,YES,MVL
ABIDE_I,PITT,50011,8,YES,MVL
ABIDE_I,PITT,50012,9,YES,MVL
ABIDE_I,PITT,50013,10,YES,MVL
ABIDE_I,PITT,50014,11,YES,MVL
ABIDE_I,PITT,50015,12,YES,MVL
ABIDE_I,PITT,50016,13,YES,MVL
ABIDE_I,PITT,50017,14,YES,MVL
ABIDE_I,PITT,50019,15,YES,MVL
ABIDE_I,PITT,50020,16,YES,MVL
ABIDE_I,PITT,50022,17,YES,MVL
ABIDE_I,PITT,50023,18,YES,MVL
ABIDE_I,PITT,50024,19,YES,MVL
ABIDE_I,PITT,50025,20,YES,MVL
ABIDE_I,PITT,50026,21,YES,MVL
ABIDE_I,PITT,50027,22,YES,MVL
ABIDE_I,PITT,50028,23,YES,MVL
ABIDE_I,PITT,50029,24,YES,MVL
ABIDE_I,PITT,50030,25,YES,MVL
ABIDE_I,PITT,50031,26,YES,MVL
ABIDE_I,PITT,50032,27,YES,MVL
ABIDE_I,PITT,50033,28,YES,MVL
ABIDE_I,PITT,50034,29,YES,MVL
ABIDE_I,PITT,50035,30,YES,MVL
ABIDE_I,PITT,50036,31,YES,MVL
ABIDE_I,PITT,50037,32,YES,MVL
ABIDE_I,PITT,50038,33,YES,MVL
ABIDE_I,PITT,50039,34,YES,MVL
ABIDE_I,PITT,50040,35,YES,MVL
ABIDE_I,PITT,50041,36,YES,MVL
ABIDE_I,PITT,50042,37,YES,MVL
ABIDE_I,PITT,50043,38,YES,MVL
ABIDE_I,PITT,50044,39,YES,MVL
ABIDE_I,PITT,50045,40,YES,MVL
ABIDE_I,PITT,50046,41,YES,MVL
ABIDE_I,PITT,50047,42,YES,MVL
ABIDE_I,PITT,50048,43,YES,MVL
ABIDE_I,PITT,50049,44,YES,MVL
ABIDE_I,PITT,50050,45,YES,MVL
ABIDE_I,PITT,50051,46,YES,MVL
ABIDE_I,PITT,50052,47,YES,MVL
ABIDE_I,PITT,50053,48,YES,MVL
ABIDE_I,PITT,50054,49,YES,MVL
ABIDE_I,PITT,50055,50,YES,MVL
ABIDE_I,PITT,50056,51,YES,MVL
ABIDE_I,PITT,50057,52,YES,MVL
ABIDE_I,PITT,50058,53,YES,MVL
ABIDE_I,PITT,50059,54,YES,MVL
ABIDE_I,PITT,50060,55,YES,MVL
ABIDE_I,SBL,51556,0,YES,MVL
ABIDE_I,SBL,51557,1,YES,MVL
ABIDE_I,SBL,51558,2,NO,MVL
ABIDE_I,SBL,51559,3,YES,MVL
ABIDE_I,SBL,51560,4,YES,MVL
ABIDE_I,SBL,51561,5,YES,MVL
ABIDE_I,SBL,51562,6,YES,MVL
ABIDE_I,SBL,51563,7,YES,MVL
ABIDE_I,SBL,51564,8,YES,MVL
ABIDE_I,SBL,51565,9,YES,MVL
ABIDE_I,SBL,51566,10,NO,MVL
ABIDE_I,SBL,51567,11,NO,MVL
ABIDE_I,SBL,51568,12,YES,MVL
ABIDE_I,SBL,51569,13,YES,MVL
ABIDE_I,SBL,51570,14,YES,MVL
ABIDE_I,SBL,51571,15,NO,MVL
ABIDE_I,SBL,51572,16,YES,MVL
